DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP
3,9XX WELLS ST,39.1080820930333,-84.5695486006237,EAST PRICE HILL,1069,31007876,1,"CINC, OH 45205",WHITE,MALE,43,NONFATAL,08/11/2010 12:00:00 AM,AUG,,N/A,WED,31007876,08/11/2010 12:00:00 AM,DISTRICT 3,45205
4,77XX STILLWELL RD,39.2046191970255,-84.457428418919,ROSELAWN,2880,159001885,1,"CINCINNATI, OH 45206",BLACK,MALE,19,NONFATAL,01/22/2015 12:00:00 AM,JAN,181500,18,THU,159001885,01/22/2015 06:15:00 PM,DISTRICT 4,45237
5,54XX WINNESTE AV,39.188705371667,-84.5141480930093,WINTON HILLS,984,51002947,3,,BLACK,MALE,20,NONFATAL,05/26/2010 12:00:00 AM,MAY,,N/A,WED,51002947,05/26/2010 12:00:00 AM,DISTRICT 5,45232
1,4XX W LIBERTY ST,39.1136540322464,-84.5237566741666,WEST END,669,10903615,1,,BLACK,MALE,38,NONFATAL,08/09/2009 12:00:00 AM,AUG,,N/A,SUN,10903615,08/09/2009 12:00:00 AM,DISTRICT 1,45214
4,35XX READING RD,39.1461534879837,-84.4890899758282,AVONDALE,993,41003244,2,,BLACK,MALE,25,NONFATAL,06/03/2010 12:00:00 AM,JUN,,N/A,THU,41003244,06/03/2010 12:00:00 AM,DISTRICT 4,45229
3,27XX BAKER AV,39.135207146869,-84.5687948060647,SOUTH FAIRMOUNT,3380,169003967,1,"CINCINNATI, OH 45211",BLACK,MALE,36,NONFATAL,02/20/2016 12:00:00 AM,FEB,004500,0,SAT,169003967,02/20/2016 12:45:00 AM,DISTRICT 3,
1,5XX BETTON ST,39.1106412544623,-84.524343950023,WEST END,175,10803051,1,,BLACK,MALE,30,NONFATAL,06/26/2008 12:00:00 AM,JUN,,N/A,THU,10803051,06/26/2008 12:00:00 AM,DISTRICT 1,45214
3,17XX ELMORE ST,39.156614780431,-84.5432399242912,SOUTH CUMMINSVILLE,36,50800990,1,,BLACK,MALE,18,FATAL,02/17/2008 12:00:00 AM,FEB,,N/A,SUN,50800990,02/17/2008 12:00:00 AM,DISTRICT 3,45223
3,42XX GLENWAY AV,39.1151726412431,-84.5836874588365,WEST PRICE HILL,1397,31103919,1,"CINC, OH 45238",WHITE,MALE,48,NONFATAL,05/14/2011 12:00:00 AM,MAY,144000,14,SAT,31103919,05/14/2011 02:40:00 PM,DISTRICT 3,45205
5,X KINGS RUN CT,39.1780093904007,-84.5101177267277,WINTON HILLS,327,50806267,1,,BLACK,MALE,32,NONFATAL,10/11/2008 12:00:00 AM,OCT,,N/A,SAT,50806267,10/11/2008 12:00:00 AM,DISTRICT 5,45232
1,8XX YORK ST,39.1179888840711,-84.5265590273484,WEST END,2465,139032366,3,"CINCINNATI, OH 45214",BLACK,MALE,16,NONFATAL,11/28/2013 12:00:00 AM,NOV,112000,11,THU,139032366,11/28/2013 11:20:00 AM,DISTRICT 1,45214
4,3XX ROCKDALE AV,39.1451210842996,-84.5012024703023,AVONDALE,3810,179003403,1,,BLACK,MALE,24,NONFATAL,02/05/2017 12:00:00 AM,FEB,160000,16,SUN,179003403,02/05/2017 04:00:00 PM,DISTRICT 4,
