DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP
,,,,,3835,,0,,,,0,,,JAN,,N/A,SAT,0,,DISTRICT,
4,8XX WINDHAM AV,39.1428396994859,-84.489002603138,AVONDALE,846,41000510,1,,BLACK,MALE,32,NONFATAL,01/24/2010 12:00:00 AM,JAN,,N/A,SUN,41000510,01/24/2010 12:00:00 AM,DISTRICT 4,45229
4,34XX HARVEY AV,39.1404355917355,-84.4976525863056,AVONDALE,253,40805831,1,,BLACK,MALE,17,NONFATAL,08/12/2008 12:00:00 AM,AUG,,N/A,TUE,40805831,08/12/2008 12:00:00 AM,DISTRICT 4,45229
1,21XX WESTERN AV,39.1217437098575,-84.5382190319205,QUEENSGATE,212,08-H-35,1,,BLACK,MALE,27,FATAL,07/17/2008 12:00:00 AM,JUL,,N/A,THU,08-H-35,07/17/2008 12:00:00 AM,DISTRICT 1,45214
1,XX GREEN ST,39.114483163875,-84.5177054092784,OVER-THE-RHINE,675,10903678,1,,BLACK,MALE,18,NONFATAL,08/11/2009 12:00:00 AM,AUG,,N/A,TUE,10903678,08/11/2009 12:00:00 AM,DISTRICT 1,45202
5,5XX S I75 EX,39.160023049475,-84.5499803846562,NORTHSIDE,355,50806643,1,,BLACK,MALE,25,NONFATAL,10/26/2008 12:00:00 AM,OCT,,N/A,SUN,50806643,10/26/2008 12:00:00 AM,DISTRICT 5,45223
4,XX E GALBRAITH RD,39.21209227734,-84.4717124257827,HARTWELL,3180,159017614,1,"CINCINNATI, OH 45215",BLACK,MALE,33,NONFATAL,08/30/2015 12:00:00 AM,AUG,233000,23,SUN,159017614,08/30/2015 11:30:00 PM,DISTRICT 4,45216
4,51XX PADDOCK RD,39.1816832755773,-84.4767308690666,BOND HILL,1892,129020535,1,"CINC, OH 45237",BLACK,FEMALE,41,NONFATAL,07/22/2012 12:00:00 AM,JUL,042500,4,SUN,129020535,07/22/2012 04:25:00 AM,DISTRICT 4,45237
4,23XX READING RD,39.1235555034431,-84.5017003397665,WALNUT HILLS,2600,149010037,1,"CINC, OH 45219",BLACK,MALE,17,NONFATAL,05/03/2014 12:00:00 AM,MAY,234800,23,SAT,149010037,05/03/2014 11:48:00 PM,DISTRICT 4,45206
5,29XX HIGHFOREST LN,39.178399200544,-84.5612315430753,MOUNT AIRY,3755,169033151,1,,BLACK,MALE,48,NONFATAL,12/19/2016 12:00:00 AM,DEC,163000,16,MON,169033151,12/19/2016 04:30:00 PM,DISTRICT 5,
4,12XX REGENT AV,39.1762757400517,-84.476972037343,BOND HILL,3690,169026811,1,,BLACK,MALE,19,NONFATAL,10/13/2016 12:00:00 AM,OCT,213000,21,THU,169026811,10/13/2016 09:30:00 PM,DISTRICT 4,
1,16XX LOCKHURST LN,39.1135541476608,-84.5305363186963,WEST END,3275,159029546,2,"CINCINNATI, OH 45214",BLACK,MALE,23,FATAL,10/28/2015 12:00:00 AM,OCT,212700,21,WED,159029546,10/28/2015 09:27:00 PM,DISTRICT 1,
3,31XX MOOSEWOOD AV,39.141324741413,-84.5505530702517,MILLVALE,2797,149026782,1,"CINTI, OH 45210",BLACK,MALE,30,NONFATAL,10/20/2014 12:00:00 AM,OCT,203000,20,MON,149026782,10/20/2014 08:30:00 PM,DISTRICT 3,45225
3,19XX BALTIMORE AV,39.1360596047083,-84.5593195300837,NORTH FAIRMOUNT,2154,139008089,2,"CINC, OH 45214",BLACK,MALE,22,NONFATAL,04/08/2013 12:00:00 AM,APR,160000,16,MON,139008089,04/08/2013 04:00:00 PM,DISTRICT 3,45225
4,78XX READING RD,39.2055544171934,-84.4543622344519,ROSELAWN,1511,41104818,1,"CINC, OH 45237",BLACK,MALE,19,NONFATAL,07/27/2011 12:00:00 AM,JUL,215500,21,WED,41104818,07/27/2011 09:55:00 PM,DISTRICT 4,45237
1,8XX FINDLAY ST,39.1160663831254,-84.5286275718152,WEST END,3086,159016487,1,"CINCINNATI, OH 45214",BLACK,MALE,21,NONFATAL,06/26/2015 12:00:00 AM,JUN,022000,2,FRI,159016487,06/26/2015 02:20:00 AM,DISTRICT 1,45214
3,32XX BOWLING GREEN CT,39.1432715510754,-84.5516450244679,MILLVALE,1878,129018512,1,"CINC, OH 45205",BLACK,MALE,23,NONFATAL,07/07/2012 12:00:00 AM,JUL,022000,2,SAT,129018512,07/07/2012 02:20:00 AM,DISTRICT 3,45225
1,XX E FIFTEENTH ST,39.1115390945005,-84.5142073348199,OVER-THE-RHINE,980,11001995,1,,BLACK,MALE,23,NONFATAL,05/25/2010 12:00:00 AM,MAY,,N/A,TUE,11001995,05/25/2010 12:00:00 AM,DISTRICT 1,45202
4,1XX W 68TH ST,39.1926733312801,-84.4852612721621,CARTHAGE,3659,169024647,1,,BLACK,MALE,18,NONFATAL,09/21/2016 12:00:00 AM,SEP,200000,20,WED,169024647,09/21/2016 08:00:00 PM,DISTRICT 4,
4,6XX PROSPECT PL,39.1427854915822,-84.4918926106013,AVONDALE,3630,169022514,1,"CINCINNATI, OH 45229",BLACK,MALE,44,NONFATAL,09/01/2016 12:00:00 AM,SEP,002500,0,THU,169022514,09/01/2016 12:25:00 AM,DISTRICT 4,
1,XX E MCMICKEN AV,39.1154970224437,-84.5144775729266,OVER-THE-RHINE,3211,159026176,1,"CINCINNATI, OH",BLACK,MALE,45,NONFATAL,09/23/2015 12:00:00 AM,SEP,191700,19,WED,159026176,09/23/2015 07:17:00 PM,DISTRICT 1,
1,5XX W LIBERTY ST,39.1137376689761,-84.5259081934947,WEST END,2159,139008257,1,"CINC, OH 45202",BLACK,MALE,21,NONFATAL,04/09/2013 12:00:00 AM,APR,210200,21,TUE,139008257,04/09/2013 09:02:00 PM,DISTRICT 1,45214
5,4XX KINGS RUN CT,39.1773512909686,-84.5103326089301,WINTON HILLS,2202,139011587,4,"CINC, OH 45223",BLACK,MALE,25,NONFATAL,05/13/2013 12:00:00 AM,MAY,012800,1,MON,139011587,05/13/2013 01:28:00 AM,DISTRICT 5,45232
1,15XX REPUBLIC ST,39.1112575544856,-84.5160849537041,OVER-THE-RHINE,2264,139015295,1,"CINC, OH 45237",BLACK,MALE,34,NONFATAL,06/18/2013 12:00:00 AM,JUN,,N/A,TUE,139015295,06/18/2013 12:00:00 AM,DISTRICT 1,45202
1,X E 15TH,39.1111527202672,-84.5156541428291,OVER-THE-RHINE,2272,139016080,1,"CLARKSVILLE, IN 47129",WHITE,MALE,22,NONFATAL,06/25/2013 12:00:00 AM,JUN,034400,3,TUE,139016080,06/25/2013 03:44:00 AM,DISTRICT 1,45202
2,62XX DESMOND,39.1621403050041,-84.3888145865127,MADISONVILLE,2157,139008169,1,"CINC, OH 45227",BLACK,MALE,40,NONFATAL,04/08/2013 12:00:00 AM,APR,221000,22,MON,139008169,04/08/2013 10:10:00 PM,DISTRICT 2,45227
5,42XX BROOKSIDE AV,39.1646421734856,-84.5392880773321,NORTHSIDE,3386,169004369,1,"CINCINNATI, OH 45214",BLACK,MALE,37,NONFATAL,02/24/2016 12:00:00 AM,FEB,233000,23,WED,169004369,02/24/2016 11:30:00 PM,DISTRICT 5,
3,24XX WILLIAMSBURG DR,39.1550457593418,-84.5610583754365,FAYE APARTMENTS,2890,159002968,1,UNKNOWN,BLACK,MALE,18,NONFATAL,02/04/2015 12:00:00 AM,FEB,073300,7,WED,159002968,02/04/2015 07:33:00 AM,DISTRICT 3,45225
C,11XX VINE ST,39.1063160250161,-84.5143273676113,CBD/RIVERFRONT,2083,139001230,1,"CINC, OH 45211",BLACK,MALE,20,NONFATAL,01/15/2013 12:00:00 AM,JAN,124700,12,TUE,139001230,01/15/2013 12:47:00 PM,CENTRAL BUSINESS SECTION,45202
5,54XX WINNESTE AV,39.1893713767942,-84.5137050430885,WINTON HILLS,1144,51005881S1,2,,BLACK,MALE,110,NONFATAL,09/24/2010 12:00:00 AM,SEP,,N/A,FRI,51005881S1,09/24/2010 12:00:00 AM,DISTRICT 5,45232
1,XX E MCMICKEN AV,39.1142007950889,-84.515717007041,OVER-THE-RHINE,2403,139026787,1,"CINC, OH 45202",BLACK,MALE,84,FATAL,09/29/2013 12:00:00 AM,SEP,055000,5,SUN,139026787,09/29/2013 05:50:00 AM,DISTRICT 1,45202
2,18XX CLARION AV,39.1444981324115,-84.4692561129437,EVANSTON,1981,129028794,1,"CINC, OH 45223",BLACK,MALE,25,NONFATAL,10/05/2012 12:00:00 AM,OCT,002200,0,FRI,129028794,10/05/2012 12:22:00 AM,DISTRICT 2,45207
5,45XX HAMILTON AV,39.1721090805988,-84.5430384639487,NORTHSIDE,3726,169029843,1,,BLACK,MALE,21,NONFATAL,11/14/2016 12:00:00 AM,NOV,150000,15,MON,169029843,11/14/2016 03:00:00 PM,DISTRICT 5,
4,1XX W NORTH BEND RD,39.1989562714579,-84.480283183871,CARTHAGE,1628,41107050,2,"CINC, OH 45237",BLACK,MALE,21,FATAL,10/30/2011 12:00:00 AM,OCT,205000,20,SUN,41107050,10/30/2011 08:50:00 PM,DISTRICT 4,45216
1,18XX GOOSE AL,39.1154014096394,-84.5187221039587,OVER-THE-RHINE,1015,11002492,1,,BLACK,MALE,22,FATAL,06/17/2010 12:00:00 AM,JUN,,N/A,THU,11002492,06/17/2010 12:00:00 AM,DISTRICT 1,45202
4,14XX CALIFORNIA AV,39.1754529681588,-84.4738688170238,BOND HILL,2471,139032697,1,"CINC, OH 45229",BLACK,MALE,30,NONFATAL,12/02/2013 12:00:00 AM,DEC,201000,20,MON,139032697,12/02/2013 08:10:00 PM,DISTRICT 4,45237
4,30XX WALTER AV,39.1362755784894,-84.4856714124853,WALNUT HILLS,16,40800330,1,,BLACK,MALE,37,NONFATAL,01/15/2008 12:00:00 AM,JAN,,N/A,TUE,40800330,01/15/2008 12:00:00 AM,DISTRICT 4,45206
2,62XX CHANDLER ST,39.1634886230684,-84.3873257243215,MADISONVILLE,3561,169021235,1,,BLACK,MALE,5,FATAL,07/16/2016 12:00:00 AM,JUL,120500,12,SAT,169021235,07/16/2016 12:05:00 PM,DISTRICT 2,
4,2XX MCGREGOR AV,39.1233525474373,-84.5055049228954,MOUNT AUBURN,1671,41107949,1,"CINC, OH 45219",BLACK,MALE,18,NONFATAL,12/13/2011 12:00:00 AM,DEC,003000,0,TUE,41107949,12/13/2011 12:30:00 AM,DISTRICT 4,45219
3,38XX PRESIDENT DR,39.1547172113089,-84.5599992813609,FAYE APARTMENTS,599,30905341,1,,BLACK,MALE,54,FATAL,06/13/2009 12:00:00 AM,JUN,,N/A,SAT,30905341,06/13/2009 12:00:00 AM,DISTRICT 3,45225
2,17XX DANA AV,39.1472911099745,-84.4687556631222,EVANSTON,1011,21002492,1,,BLACK,MALE,27,FATAL,06/15/2010 12:00:00 AM,JUN,,N/A,TUE,21002492,06/15/2010 12:00:00 AM,DISTRICT 2,45207
3,24XX NOTTINGHAM RD,39.1561375415094,-84.5604956862455,FAYE APARTMENTS,505,30902528,1,,BLACK,MALE,19,NONFATAL,03/26/2009 12:00:00 AM,MAR,,N/A,THU,30902528,03/26/2009 12:00:00 AM,DISTRICT 3,45225
5,25XX HALSTED ST,39.1274709175634,-84.531599439339,CUF,2894,159003287,1,"CINCINNATI, OH 45214",BLACK,FEMALE,30,NONFATAL,02/08/2015 12:00:00 AM,FEB,100400,10,SUN,159003287,02/08/2015 10:04:00 AM,DISTRICT 5,45214
4,7XX S SHUTTLESWORTH CR,39.1519515969091,-84.4870582245927,NORTH AVONDALE,302,40807264,1,,,,108,NONFATAL,09/28/2008 12:00:00 AM,SEP,,N/A,SUN,40807264,09/28/2008 12:00:00 AM,DISTRICT 4,45229
5,51XX HOLLAND DR,39.1864138486255,-84.5113474435418,WINTON HILLS,2926,159006877,1,"CINCINNATI, OH 45232",BLACK,FEMALE,17,NONFATAL,03/23/2015 12:00:00 AM,MAR,185200,18,MON,159006877,03/23/2015 06:52:00 PM,DISTRICT 5,45232
3,36XX MCHENRY AV,39.1506479667957,-84.5623683949563,EAST WESTWOOD,2100,139003093,1,"CINC, OH 45225",BLACK,MALE,33,NONFATAL,02/05/2013 12:00:00 AM,FEB,162000,16,TUE,139003093,02/05/2013 04:20:00 PM,DISTRICT 3,45225
1,4XX DAYTON ST,39.1182621613046,-84.5259790265929,WEST END,3061,159014864,1,"CINCI, OH 45227",BLACK,MALE,34,NONFATAL,06/11/2015 12:00:00 AM,JUN,134000,13,THU,159014864,06/11/2015 01:40:00 PM,DISTRICT 1,45214
4,10XX BURTON AV,39.1493923852858,-84.4816213848088,NORTH AVONDALE,2033,139001389,1,"CINCOH, 45225",BLACK,MALE,19,FATAL,11/21/2012 12:00:00 AM,NOV,174300,17,WED,139001389,11/21/2012 05:43:00 PM,DISTRICT 4,45229
C,1XX GOVERNMENT PL,39.1013811217853,-84.5114752933197,CBD/RIVERFRONT,646,10903288,1,,BLACK,MALE,18,NONFATAL,07/23/2009 12:00:00 AM,JUL,,N/A,THU,10903288,07/23/2009 12:00:00 AM,CENTRAL BUSINESS SECTION,45202
1,5XX E TWELFTH ST,39.1110940204704,-84.5051520203136,PENDLETON,209,10803364,1,,BLACK,MALE,19,NONFATAL,07/14/2008 12:00:00 AM,JUL,,N/A,MON,10803364,07/14/2008 12:00:00 AM,DISTRICT 1,45202
1,1XX E CLIFTON AVE,39.1154109765501,-84.5148769428279,OVER-THE-RHINE,1373,11101644,1,"CINC, OH 45225",BLACK,MALE,27,NONFATAL,04/26/2011 12:00:00 AM,APR,122000,12,TUE,11101644,04/26/2011 12:20:00 PM,DISTRICT 1,45202
4,24XX PARIS ST,39.1261538736783,-84.5055308769765,MOUNT AUBURN,85,40802416,1,,BLACK,MALE,26,NONFATAL,04/14/2008 12:00:00 AM,APR,,N/A,MON,40802416,04/14/2008 12:00:00 AM,DISTRICT 4,45219
5,1XX CRAFT ST,39.1780844046807,-84.5103142155195,WINTON HILLS,3419,169006939,1,"CINCINNATI, OH 45039",WHITE,MALE,20,NONFATAL,03/25/2016 12:00:00 AM,MAR,235500,23,FRI,169006939,03/25/2016 11:55:00 PM,DISTRICT 5,
3,17XX MONTROSE ST,39.1260043670695,-84.5556702689474,SOUTH FAIRMOUNT,805,30911718,1,,BLACK,MALE,50,NONFATAL,12/08/2009 12:00:00 AM,DEC,,N/A,TUE,30911718,12/08/2009 12:00:00 AM,DISTRICT 3,45214
3,36XX VANVEY AV,39.1093387381209,-84.5720298971674,EAST PRICE HILL,1055,31007225,2,"INDEPENDENCE, KY 4105",WHITE,MALE,30,NONFATAL,07/26/2010 12:00:00 AM,JUL,,N/A,MON,31007225,07/26/2010 12:00:00 AM,DISTRICT 3,45205
5,6XX STRAND LN,39.1884227443797,-84.5126266918112,WINTON HILLS,244,50804651,1,,BLACK,MALE,23,NONFATAL,08/04/2008 12:00:00 AM,AUG,,N/A,MON,50804651,08/04/2008 12:00:00 AM,DISTRICT 5,45232
4,20XX HIGHLAND AV,39.1182882345843,-84.5030806018021,MOUNT AUBURN,797,40908400,1,,BLACK,MALE,53,FATAL,12/02/2009 12:00:00 AM,DEC,,N/A,WED,40908400,12/02/2009 12:00:00 AM,DISTRICT 4,45219
4,5XX HICKORY ST,39.1445658081602,-84.4960592862444,AVONDALE,488,40901558,2,,BLACK,MALE,26,FATAL,03/08/2009 12:00:00 AM,MAR,,N/A,SUN,40901558,03/08/2009 12:00:00 AM,DISTRICT 4,45229
4,46XX PADDOCK RD,39.1676440611789,-84.4778778430689,BOND HILL,1040,41004125,1,"CINC, OH 45229",BLACK,MALE,29,NONFATAL,07/10/2010 12:00:00 AM,JUL,,N/A,SAT,41004125,07/10/2010 12:00:00 AM,DISTRICT 4,45229
3,28XX HARRISON RD,39.1427484337072,-84.5916607669062,WESTWOOD,2672,149016240,1,"TROTWOOD, OH 45426",BLACK,MALE,22,NONFATAL,07/04/2014 12:00:00 AM,JUL,013000,1,FRI,149016240,07/04/2014 01:30:00 AM,DISTRICT 3,45211
1,1XX EAST CLIFTON AV,39.1153035483831,-84.5137965949979,OVER-THE-RHINE,2487,139034511,1,"CINCINNATI, OH 45239",BLACK,MALE,34,NONFATAL,12/24/2013 12:00:00 AM,DEC,150000,15,TUE,139034511,12/24/2013 03:00:00 PM,DISTRICT 1,45202
5,XX CRAFT ST,39.1785302849549,-84.5105631730152,WINTON HILLS,1302,51100855,1,"CINC, OH 45232",BLACK,FEMALE,35,NONFATAL,02/18/2011 12:00:00 AM,FEB,002900,0,FRI,51100855,02/18/2011 12:29:00 AM,DISTRICT 5,45232
1,4XX E TWELFTH ST,39.109545967757,-84.5067977272206,PENDLETON,1165,11004586,2,"CINC, OH 45219",BLACK,MALE,23,NONFATAL,10/07/2010 12:00:00 AM,OCT,,N/A,THU,11004586,10/07/2010 12:00:00 AM,DISTRICT 1,45202
3,33XX MCHENRY AV,39.1464994324548,-84.5714011904823,EAST WESTWOOD,3159,159022009,1,"COVINGTON, KY 41011",BLACK,MALE,31,NONFATAL,08/16/2015 12:00:00 AM,AUG,230200,23,SUN,159022009,08/16/2015 11:02:00 PM,DISTRICT 3,
3,37XX PRESIDENT DR,39.152064818631,-84.5602834237288,FAYE APARTMENTS,78,30803065,1,,WHITE,MALE,26,NONFATAL,04/11/2008 12:00:00 AM,APR,,N/A,FRI,30803065,04/11/2008 12:00:00 AM,DISTRICT 3,45225
5,54XX BETTMAN DR,39.1878090804809,-84.5112573919319,WINTON HILLS,3698,169027669,1,,BLACK,MALE,31,NONFATAL,10/22/2016 12:00:00 AM,OCT,220500,22,SAT,169027669,10/22/2016 10:05:00 PM,DISTRICT 5,
4,18XX HIGHLAND AV,39.1156972204841,-84.5041897690525,MOUNT AUBURN,2784,149025606,1,"CINC, OH 45206",BLACK,MALE,23,NONFATAL,10/08/2014 12:00:00 AM,OCT,160000,16,WED,149025606,10/08/2014 04:00:00 PM,DISTRICT 4,45202
1,17XX VINE ST,39.1141049122958,-84.5155095904997,OVER-THE-RHINE,1851,129018171,1,"CINCINNATI, OH",BLACK,FEMALE,15,FATAL,06/18/2012 12:00:00 AM,JUN,231000,23,MON,129018171,06/18/2012 11:10:00 PM,DISTRICT 1,45202
3,24XX WILLIAMSBURG DR,39.1542101393573,-84.5609004367247,FAYE APARTMENTS,2703,149018818,1,"CINCINNATI, OH",BLACK,FEMALE,24,NONFATAL,08/02/2014 12:00:00 AM,AUG,203000,20,SAT,149018818,08/02/2014 08:30:00 PM,DISTRICT 3,45225
4,70XX GLENMEADOW LN,39.1888625269751,-84.4673981852848,BOND HILL,481,40901581,2,,BLACK,MALE,19,FATAL,03/04/2009 12:00:00 AM,MAR,,N/A,WED,40901581,03/04/2009 12:00:00 AM,DISTRICT 4,45237
1,X W ELDER ST,39.1157198696471,-84.5167983486936,OVER-THE-RHINE,2479,139033697,1,"CINC, OH 45207",BLACK,MALE,24,NONFATAL,12/14/2013 12:00:00 AM,DEC,193800,19,SAT,139033697,12/14/2013 07:38:00 PM,DISTRICT 1,45202
4,37XX READING RD,39.1504847016601,-84.4862847444046,NORTH AVONDALE,299,40807261,1,,BLACK,MALE,27,FATAL,09/25/2008 12:00:00 AM,SEP,,N/A,THU,40807261,09/25/2008 12:00:00 AM,DISTRICT 4,45229
1,19XX VINE ST,39.1161648851982,-84.5164025886289,OVER-THE-RHINE,826,10906065,1,,BLACK,MALE,36,NONFATAL,12/25/2009 12:00:00 AM,DEC,,N/A,FRI,10906065,12/25/2009 12:00:00 AM,DISTRICT 1,45202
3,17XX WEBER ST,39.1549970010206,-84.5476578915765,SOUTH CUMMINSVILLE,1111,31008959,2,"CINC, OH 45211",BLACK,MALE,20,NONFATAL,09/07/2010 12:00:00 AM,SEP,,N/A,TUE,31008959,09/07/2010 12:00:00 AM,DISTRICT 3,45223
1,20XX LINN ST,39.1189190343811,-84.5272984180784,WEST END,575,10902119,2,,BLACK,MALE,24,NONFATAL,05/24/2009 12:00:00 AM,MAY,,N/A,SUN,10902119,05/24/2009 12:00:00 AM,DISTRICT 1,45214
1,S I75 AT 1-5 MM,39.1098285233042,-84.5310026950579,WEST END,3181,159023538,3,"CINCINNATI, OH 45240",BLACK,MALE,21,NONFATAL,08/30/2015 12:00:00 AM,AUG,234500,23,SUN,159023538,08/30/2015 11:45:00 PM,DISTRICT 1,45214
1,2XX E CLIFTON AV,39.115716026765,-84.5135085994496,OVER-THE-RHINE,772,10905394,1,,WHITE,MALE,24,NONFATAL,11/15/2009 12:00:00 AM,NOV,,N/A,SUN,10905394,11/15/2009 12:00:00 AM,DISTRICT 1,45202
4,3XX ROCKDALE AV,39.1448824348928,-84.5018160122192,AVONDALE,1890,129020063,1,"CINC, OH 45220",BLACK,MALE,19,NONFATAL,07/19/2012 12:00:00 AM,JUL,110000,11,THU,129020063,07/19/2012 11:00:00 AM,DISTRICT 4,45229
4,35XX IRVING ST,39.1475150985054,-84.5079555637591,AVONDALE,444,40900585,1,,BLACK,MALE,23,FATAL,01/23/2009 12:00:00 AM,JAN,,N/A,FRI,40900585,01/23/2009 12:00:00 AM,DISTRICT 4,45220
5,51XX WINNESTE AV,39.1841475436981,-84.5128008437655,WINTON HILLS,1341,51101647,1,"CIN, OH 45227",BLACK,FEMALE,25,NONFATAL,04/02/2011 12:00:00 AM,APR,221000,22,SAT,51101647,04/02/2011 10:10:00 PM,DISTRICT 5,45232
5,47XX ESTE AV,39.176676014216,-84.5080437507304,WINTON HILLS,1638,51106314,1,"SPRINGDALE, OH 45246",BLACK,MALE,18,NONFATAL,11/08/2011 12:00:00 AM,NOV,001000,0,TUE,51106314,11/08/2011 12:10:00 AM,DISTRICT 5,45232
4,7XX LINCOLN AV,39.1316901437334,-84.4925842661677,WALNUT HILLS,174,40804423,1,,BLACK,MALE,17,NONFATAL,06/25/2008 12:00:00 AM,JUN,,N/A,WED,40804423,06/25/2008 12:00:00 AM,DISTRICT 4,45206
3,32XX MONTANA AV,39.149661914772,-84.6089769613065,WESTWOOD,1498,31106326,1,"CINC, OH 45211",BLACK,FEMALE,48,NONFATAL,07/19/2011 12:00:00 AM,JUL,231000,23,TUE,31106326,07/19/2011 11:10:00 PM,DISTRICT 3,45211
5,56XX WINNESTE AV,39.1909590701202,-84.5150100434447,WINTON HILLS,470,50900919,1,,BLACK,MALE,21,NONFATAL,02/21/2009 12:00:00 AM,FEB,,N/A,SAT,50900919,02/21/2009 12:00:00 AM,DISTRICT 5,45232
5,16XX LLANFAIR AV,39.1958198001126,-84.5474811484503,COLLEGE HILL,128,50802907,1,,BLACK,MALE,24,NONFATAL,05/24/2008 12:00:00 AM,MAY,,N/A,SAT,50802907,05/24/2008 12:00:00 AM,DISTRICT 5,45224
4,3XX HELEN ST,39.1233284049177,-84.5025950080475,MOUNT AUBURN,934,41001835,1,,BLACK,MALE,54,NONFATAL,04/06/2010 12:00:00 AM,APR,,N/A,TUE,41001835,04/06/2010 12:00:00 AM,DISTRICT 4,45219
4,7XX RIDGEWAY AV,39.1391940674457,-84.4958204965712,AVONDALE,1908,129021922,2,"CINC, OH 45205",BLACK,MALE,22,NONFATAL,08/03/2012 12:00:00 AM,AUG,231900,23,FRI,129021922,08/03/2012 11:19:00 PM,DISTRICT 4,45229
3,21XX QUEEN CITY AV,39.1281263476491,-84.5716101656466,SOUTH FAIRMOUNT,1306,31101367,1,"CINC, OH 45233",WHITE,MALE,18,NONFATAL,02/20/2011 12:00:00 AM,FEB,010000,1,SUN,31101367,02/20/2011 01:00:00 AM,DISTRICT 3,45214
5,4XX KINGS RUN DR,39.1777927588872,-84.5095528273351,WINTON HILLS,2280,139016487,1,"CINC, OH 45211",BLACK,MALE,20,NONFATAL,06/27/2013 12:00:00 AM,JUN,195000,19,THU,139016487,06/27/2013 07:50:00 PM,DISTRICT 5,45232
3,12XX WESSELS AV,39.1149391641465,-84.5716859098691,EAST PRICE HILL,2049,129036780,3,,BLACK,MALE,16,FATAL,12/17/2012 12:00:00 AM,DEC,231000,23,MON,129036780,12/17/2012 11:10:00 PM,DISTRICT 3,45205
3,21XX WESTWOOD NORTHERN BV,39.1445581271689,-84.5629350094612,EAST WESTWOOD,3410,169005912,1,"CINCINNATI, OH 45225",BLACK,MALE,15,NONFATAL,03/14/2016 12:00:00 AM,MAR,141000,14,MON,169005912,03/14/2016 02:10:00 PM,DISTRICT 3,
4,25XX HEMLOCK ST,39.1260972606199,-84.4931836092789,WALNUT HILLS,3382,169004053,1,"CINCINNATI, OH 45206",BLACK,MALE,58,NONFATAL,02/21/2016 12:00:00 AM,FEB,091100,9,SUN,169004053,02/21/2016 09:11:00 AM,DISTRICT 4,
4,5XX HICKORY ST,39.1437058081602,-84.4963292862444,AVONDALE,487,40901558,2,,BLACK,MALE,20,FATAL,03/08/2009 12:00:00 AM,MAR,,N/A,SUN,40901558,03/08/2009 12:00:00 AM,DISTRICT 4,45229
4,77XX READING RD,39.2036618259345,-84.4562504305966,ROSELAWN,1452,41103891,2,"CINC, OH 45237",BLACK,MALE,31,NONFATAL,06/22/2011 12:00:00 AM,JUN,193900,19,WED,41103891,06/22/2011 07:39:00 PM,DISTRICT 4,45237
1,8XX HORACE ST,39.1192452401609,-84.5271865486963,WEST END,300,10804915,1,,BLACK,MALE,20,FATAL,09/26/2008 12:00:00 AM,SEP,,N/A,FRI,10804915,09/26/2008 12:00:00 AM,DISTRICT 1,45214
4,6XX GHOLSON AV,39.1486528822067,-84.4918600961189,NORTH AVONDALE,1626,41107027,1,"CINC, OH 45229",BLACK,MALE,60,FATAL,10/30/2011 12:00:00 AM,OCT,064400,6,SUN,41107027,10/30/2011 06:44:00 AM,DISTRICT 4,45229
1,8XX W LIBERTY ST,39.1137691787888,-84.528977386383,WEST END,1458,11102596,1,"CINC, OH 45214",BLACK,MALE,17,NONFATAL,06/26/2011 12:00:00 AM,JUN,001000,0,SUN,11102596,06/26/2011 12:10:00 AM,DISTRICT 1,45214
3,9XX ELBERON AV,39.1092406328155,-84.5649711827266,EAST PRICE HILL,3480,169012611,2,"CINCINNATI, OH 45214",BLACK,MALE,19,NONFATAL,05/26/2016 12:00:00 AM,MAY,225000,22,THU,169012611,05/26/2016 10:50:00 PM,DISTRICT 3,
5,48XX HAWAIIAN TER,39.1838697401271,-84.5605162458199,MOUNT AIRY,3693,169027159,1,,BLACK,MALE,19,NONFATAL,10/17/2016 12:00:00 AM,OCT,135500,13,MON,169027159,10/17/2016 01:55:00 PM,DISTRICT 5,
3,44XX RAPID RUN RD,39.1134839168768,-84.59168244635,WEST PRICE HILL,3647,169023226,1,,BLACK,MALE,19,NONFATAL,09/07/2016 12:00:00 AM,SEP,190000,19,WED,169023226,09/07/2016 07:00:00 PM,DISTRICT 3,
4,20XX SEYMOUR AV,39.1844723024499,-84.4594837132589,BOND HILL,704,40906132,1,,BLACK,MALE,31,NONFATAL,09/01/2009 12:00:00 AM,SEP,,N/A,TUE,40906132,09/01/2009 12:00:00 AM,DISTRICT 4,45237
4,23XX READING RD,39.1231684874871,-84.501774321124,WALNUT HILLS,3822,179004107,1,,BLACK,MALE,20,NONFATAL,02/13/2017 12:00:00 AM,FEB,125500,12,MON,179004107,02/13/2017 12:55:00 PM,DISTRICT 4,
4,10XX BURTON AVE,39.1499349252059,-84.4815968638948,NORTH AVONDALE,2808,149027996,1,"CINC, OH 45217",BLACK,MALE,38,NONFATAL,11/01/2014 12:00:00 AM,NOV,193400,19,SAT,149027996,11/01/2014 07:34:00 PM,DISTRICT 4,45229
